semaine,restaurant_1,restaurant_2,total
2018-04-02,1775.6499999999999,3486.7,5262.349999999999
2018-04-09,3136.7,2027.8999999999999,5164.599999999999
2018-04-16,2748.5,3049.6,5798.1
2018-04-23,1806.05,5248.7,7054.75
2018-04-30,4102.0,3465.2999999999997,7567.299999999999
2018-05-07,2973.2999999999997,4728.15,7701.449999999999
2018-05-14,1669.2,4123.2,5792.4
2018-05-21,2657.7999999999997,4117.25,6775.049999999999
2018-05-28,2321.15,3767.1,6088.25
2018-06-04,3116.25,5734.7,8850.95
2018-06-11,3449.0,5380.45,8829.45
2018-06-18,2243.3,3973.7,6217.0
2018-06-25,2019.45,4337.8,6357.25
2018-07-02,2276.0,4225.0,6501.0
2018-07-09,4449.25,5991.099999999999,10440.349999999999
2018-07-16,2208.4,3847.25,6055.65
2018-07-23,3354.0,4648.05,8002.05
2018-07-30,1670.2,2146.35,3816.55
2018-08-06,3426.7999999999997,6242.7,9669.5
2018-08-13,2755.5499999999997,4766.7,7522.25
2018-08-20,3202.85,4525.7,7728.549999999999
2018-08-27,2694.8,4247.55,6942.35
2018-09-03,2467.75,3942.5,6410.25
2018-09-10,4175.95,5613.4,9789.349999999999
2018-09-17,3465.6,4647.7,8113.299999999999
2018-09-24,3221.85,5288.95,8510.8
2018-10-01,2513.05,5368.15,7881.2
2018-10-08,3766.95,5626.2,9393.15
2018-10-15,3384.15,5193.599999999999,8577.75
2018-10-22,2942.2,4500.2,7442.4
2018-10-29,2568.8,3928.2999999999997,6497.1
2018-11-05,3255.65,4243.05,7498.700000000001
2018-11-12,3428.35,4366.6,7794.950000000001
2018-11-19,2858.45,4035.85,6894.299999999999
2018-11-26,2937.4,3150.2,6087.6
2018-12-03,2469.1,4141.45,6610.549999999999
2018-12-10,4316.9,5979.95,10296.849999999999
2018-12-17,3637.65,5745.4,9383.05
2018-12-24,3100.0,5220.85,8320.85
2018-12-31,5083.35,6689.05,11772.400000000001
2019-01-07,1046.55,1294.6499999999999,2341.2
2019-01-14,3003.2999999999997,4692.75,7696.049999999999
2019-01-21,3242.7999999999997,4260.5,7503.299999999999
2019-01-28,3636.2,6242.05,9878.25
2019-02-04,2090.6,3088.95,5179.549999999999
2019-02-11,3173.85,5477.099999999999,8650.949999999999
2019-02-18,3071.65,5296.7,8368.35
2019-02-25,1999.55,3998.0,5997.55
2019-03-04,1949.6499999999999,3487.6,5437.25
2019-03-11,2495.2,4190.0,6685.2
2019-03-18,3558.65,4250.0,7808.65
2019-03-25,4121.6,5710.45,9832.05
2019-04-01,3323.65,5450.75,8774.4
2019-04-08,1650.85,2368.2,4019.0499999999997
2019-04-15,3423.1,4422.6,7845.700000000001
2019-04-22,3376.45,4734.9,8111.349999999999
2019-04-29,4221.1,4631.4,8852.5
2019-05-06,1021.1999999999999,1258.8,2280.0
2019-05-13,4375.6,5129.85,9505.45
2019-05-20,3449.5,4972.9,8422.4
2019-05-27,2654.3,3716.0,6370.3
2019-06-03,3411.75,4170.7,7582.45
2019-06-10,2517.75,4618.45,7136.2
2019-06-17,3341.95,4257.65,7599.599999999999
2019-06-24,2951.1,4851.1,7802.200000000001
2019-07-01,2963.7,3524.1,6487.799999999999
2019-07-08,1137.0,1570.35,2707.35
2019-07-15,4267.7,4487.55,8755.25
2019-07-22,3623.1,4740.55,8363.65
2019-07-29,3136.25,3862.65,6998.9
2019-08-05,1227.2,2240.65,3467.8500000000004
2019-08-12,,,
2019-08-19,,,
2019-08-26,95.9,504.3,600.2
2019-09-02,2848.6,4971.3,7819.9
2019-09-09,,,
2019-09-16,,,
2019-09-23,,,
2019-09-30,2684.4,2911.65,5596.05
2019-10-07,161.5,355.8,517.3
2019-10-14,,,
2019-10-21,,,
2019-10-28,802.1999999999999,1266.1,2068.2999999999997
2019-11-04,2133.35,3289.85,5423.2
2019-11-11,,,
2019-11-18,,,
2019-11-25,702.7,1840.2,2542.9
2019-12-02,2918.9,3415.2,6334.1
